Symbol	Company	Country	GICS	Sector	Price
VIA.B          	Viacom Inc. (New)	US                	25	Consumer Discretionary	39.83
VNO            	Vornado Realty Trust	US                	40	Financials	95.64
VMC            	Vulcan Materials	US                	15	Materials	84.96
WB             	Wachovia Corp. (New)	US                	40	Financials	59.85
WMT            	Wal-Mart Stores	US                	30	Consumer Staples	45.03
WAG            	Walgreen Co.	US                	30	Consumer Staples	41.93
DIS            	Walt Disney Co.	US                	25	Consumer Discretionary	27.96
WM             	Washington Mutual	US                	40	Financials	45.06
WMI            	Waste Management Inc.	US                	20	Industrials	37.46
WAT            	Waters Corporation	US                	35	Health Care	45.32
WPI            	Watson Pharmaceuticals	US                	35	Health Care	28.44
WFT            	Weatherford International Ltd.	US                	10	Energy	52.93
WLP            	WellPoint Inc.	US                	35	Health Care	71
WFC            	Wells Fargo	US                	40	Financials	68.69
WEN            	Wendy's International	US                	25	Consumer Discretionary	61.78
WY             	Weyerhaeuser Corp.	US                	15	Materials	70.47
WHR            	Whirlpool Corp.	US                	25	Consumer Discretionary	89.75
WFMI           	Whole Foods Market	US                	30	Consumer Staples	61.38
WMB            	Williams Cos.	US                	10	Energy	21.93
WWY            	Wrigley (Wm) Jr.	US                	30	Consumer Staples	47.07
WYE            	Wyeth	US                	35	Health Care	48.67
XEL            	Xcel Energy Inc	US                	55	Utilities	18.84
XRX            	Xerox Corp.	US                	45	Information Technology	14.04
XLNX           	"Xilinx, Inc"	US                	45	Information Technology	27.67
XL             	XL Capital	US                	40	Financials	65.89
XTO            	XTO Energy Inc.	US                	10	Energy	42.35
YHOO           	Yahoo Inc.	US                	45	Information Technology	32.78
YUM            	"Yum! Brands, Inc"	US                	25	Consumer Discretionary	51.68
ZMH            	Zimmer Holdings	US                	35	Health Care	62.9
ZION           	Zions Bancorp	US                	40	Financials	83.03
